5 	 124 
6 	 105 
7 	 173 
8 	 457 
9 	 679 
10 	 560 
11 	 774 
12 	 1452 
13 	 1884 
14 	 1722 
15 	 2345 
16 	 3730 
17 	 4728 
18 	 4002 
19 	 5139 
20 	 7374 
21 	 8320 
22 	 8440 
23 	 9153 
24 	 13299 
25 	 15419 
26 	 14474 
27 	 17173 
28 	 21893 
29 	 24142 
30 	 23548 
31 	 25886 
32 	 35657 
33 	 38245 
34 	 36874 
35 	 40327 
36 	 50857 
37 	 56975 
38 	 56213 
39 	 60038 
40 	 74077 
41 	 80627 
42 	 81662 
43 	 87059 
44 	 101927 
45 	 111393 
46 	 110136 
47 	 115882 
48 	 137340 
49 	 149888 
50 	 148851 
51 	 162335 
52 	 187365 
53 	 196057 
54 	 202188 
55 	 210411 
56 	 230560 
57 	 260752 
58 	 253312 
59 	 270364 
60 	 304531 
61 	 329483 
62 	 319648 
63 	 336896 
64 	 386474 
65 	 414106 
66 	 394560 
67 	 422597 
68 	 479221 
69 	 500913 
70 	 507044 
71 	 534944 
72 	 476282 
73 	 410668 
74 	 379594 
75 	 398979 
76 	 434030 
77 	 461245 
78 	 452813 
79 	 474646 
80 	 530033 
81 	 555138 
82 	 546423 
83 	 570756 
84 	 622378 
85 	 635393 
86 	 652357 
87 	 663027 
88 	 734150 
89 	 783298 
90 	 776963 
91 	 807691 
92 	 877184 
93 	 911443 
94 	 915440 
95 	 950223 
96 	 1027722 
97 	 1051885 
98 	 1030940 
99 	 1098956 
100 	 1182363 
101 	 1242358 
102 	 1233214 
103 	 1281803 
104 	 1362011 
105 	 1425483 
106 	 1431064 
107 	 1473570 
108 	 1564699 
109 	 1603701 
110 	 1648931 
111 	 1674336 
112 	 1804334 
113 	 1859175 
114 	 1893045 
115 	 1893573 
116 	 2060557 
117 	 2131055 
118 	 2123284 
119 	 2214353 
120 	 2312921 
121 	 2429340 
122 	 2396677 
123 	 2446509 
124 	 2665751 
125 	 2729721 
126 	 2721022 
127 	 2819729 
128 	 2973116 
129 	 3012392 
130 	 3107036 
131 	 3170140 
132 	 3374267 
133 	 3430591 
134 	 3405411 
135 	 3520543 
136 	 3731318 
137 	 3850657 
138 	 3892671 
139 	 4023250 
140 	 4208341 
141 	 4325145 
142 	 4281494 
143 	 4423725 
144 	 4677451 
145 	 4743805 
146 	 4762452 
147 	 4831664 
148 	 5198308 
149 	 5253601 
150 	 5360657 
151 	 5383783 
152 	 5701256 
153 	 5894511 
154 	 5898963 
155 	 5930936 
156 	 6295831 
157 	 6401105 
158 	 6402210 
159 	 6543223 
160 	 6986421 
161 	 7088597 
162 	 6969560 
163 	 7285586 
164 	 7549922 
165 	 7776487 
166 	 7773311 
167 	 7931797 
168 	 8310464 
169 	 8662187 
170 	 8489828 
171 	 8641824 
172 	 9175020 
173 	 9387607 
174 	 9457904 
175 	 9502919 
176 	 9999609 
177 	 10153394 
