5 	 14 	 19 
6 	 18 	 28 
7 	 26 	 55 
8 	 37 	 108 
9 	 71 	 112 
10 	 89 	 165 
11 	 97 	 243 
12 	 68 	 222 
13 	 100 	 242 
14 	 115 	 228 
15 	 139 	 408 
16 	 150 	 515 
17 	 142 	 603 
18 	 200 	 865 
19 	 183 	 673 
20 	 241 	 944 
21 	 256 	 1403 
22 	 291 	 1079 
23 	 306 	 2737 
24 	 323 	 2080 
25 	 421 	 2035 
26 	 421 	 4046 
27 	 460 	 4285 
28 	 465 	 3299 
29 	 551 	 2441 
30 	 548 	 4496 
31 	 613 	 2876 
32 	 669 	 4224 
33 	 760 	 7225 
34 	 798 	 5026 
35 	 822 	 7505 
36 	 887 	 11093 
37 	 954 	 9612 
38 	 1021 	 9973 
39 	 1119 	 9886 
40 	 2324 	 12133 
41 	 1253 	 13074 
42 	 1273 	 14999 
43 	 1392 	 12609 
44 	 1432 	 21135 
45 	 1606 	 20222 
46 	 1607 	 19358 
47 	 1721 	 15291 
48 	 1859 	 15401 
49 	 1902 	 22726 
50 	 2017 	 30440 
51 	 2067 	 29623 
52 	 2197 	 21369 
53 	 2256 	 36914 
54 	 2335 	 59132 
55 	 2586 	 31949 
56 	 2618 	 38394 
57 	 2888 	 39704 
58 	 2960 	 50355 
59 	 3080 	 49297 
60 	 3090 	 49959 
61 	 3360 	 42305 
62 	 3457 	 62632 
63 	 3555 	 84895 
64 	 3881 	 51021 
65 	 3767 	 80328 
66 	 3878 	 83066 
67 	 4177 	 82114 
68 	 4408 	 90184 
69 	 4464 	 85369 
70 	 4775 	 107956 
71 	 4930 	 101539 
72 	 5092 	 111135 
73 	 5222 	 102666 
74 	 5526 	 123377 
75 	 5386 	 144520 
76 	 5851 	 104086 
77 	 6194 	 143186 
78 	 6373 	 145038 
79 	 7255 	 140122 
80 	 6623 	 126402 
81 	 7169 	 106822 
82 	 7199 	 179436 
83 	 7476 	 217710 
84 	 7540 	 262610 
85 	 7721 	 173862 
86 	 8338 	 163879 
87 	 8858 	 209353 
88 	 8447 	 275652 
89 	 9109 	 217047 
90 	 9134 	 217356 
91 	 9473 	 206662 
92 	 9770 	 234869 
93 	 9578 	 349528 
94 	 10216 	 359890 
95 	 10774 	 348072 
96 	 11721 	 369421 
97 	 12708 	 403219 
98 	 11435 	 365706 
99 	 11816 	 338757 
100 	 11817 	 414974 
101 	 12254 	 346454 
102 	 12672 	 298267 
103 	 13547 	 476316 
104 	 13952 	 516907 
105 	 14636 	 500094 
106 	 14065 	 459457 
107 	 14902 	 523929 
108 	 15416 	 628757 
109 	 14723 	 801723 
110 	 15404 	 665371 
111 	 16295 	 519331 
112 	 17423 	 614534 
113 	 16524 	 557389 
114 	 17022 	 762571 
115 	 17902 	 659238 
116 	 17951 	 872134 
117 	 19003 	 931772 
118 	 19065 	 847591 
119 	 19716 	 509727 
120 	 19971 	 713464 
121 	 20624 	 889522 
122 	 20453 	 1078472 
123 	 21769 	 948130 
124 	 22133 	 1034474 
125 	 21883 	 1330469 
126 	 23435 	 909679 
127 	 23029 	 852433 
128 	 23012 	 1121265 
129 	 24038 	 870634 
130 	 24438 	 925826 
131 	 24642 	 1157189 
132 	 26060 	 1050045 
133 	 25607 	 1233162 
134 	 27396 	 1196690 
135 	 27373 	 1061038 
136 	 27819 	 1114837 
137 	 28600 	 1263905 
138 	 29540 	 1114602 
139 	 30077 	 1261665 
140 	 31852 	 1173966 
141 	 30998 	 1210695 
142 	 31045 	 1330662 
143 	 32737 	 1430538 
144 	 35205 	 1786411 
145 	 34032 	 1484393 
146 	 33294 	 2373615 
147 	 37149 	 1402660 
148 	 34738 	 2083025 
149 	 35450 	 1630464 
